frequency_mhz,block_started_at,configuration,dwell_us,round,control,phase_and_closure_pass,first_phase_pass_ms,maximum_observable_phase_bias_deg,maximum_observable_gain_error_db,error,analysis_json
5811.0,2026-09-08T22:31:36.472675+00:00,B,50,1,False,False,50.25011167467238,5.685430731944541,1.078502867553427,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r1-B-50us-20260908T223610.856607Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,B,1000,1,False,True,25.12479975802177,4.793761728782672,0.3410518345522072,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r1-B-1000us-20260908T223625.825747Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,A,200,1,True,True,20.937383272551674,1.778176769238575,0.5925624121319855,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r1-A-200us-control-20260908T223640.979502Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,B,200,1,False,True,50.85469580528944,4.812762357947323,0.7652938861470516,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r1-B-200us-20260908T223650.064212Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,B,25,1,False,False,,,,autonomous C6 harmonic frequency estimates are inconsistent,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r1-B-25us-20260908T223705.908313Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,B,50,2,False,True,50.245119674387325,3.203838789414773,0.9686280384184338,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r2-B-50us-20260908T223721.383872Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,B,1000,2,False,False,25.124941412989184,3.2761751103400174,1.5443331156854632,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r2-B-1000us-20260908T223736.720163Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,B,25,2,False,False,,,,autonomous C6 harmonic frequency estimates are inconsistent,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r2-B-25us-20260908T223752.613062Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,B,100,2,False,True,50.25664781260152,7.081445632497708,0.850771000916489,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r2-B-100us-20260908T223807.899648Z/independent-analysis.json
5811.0,2026-09-08T22:31:36.472675+00:00,B,200,2,False,False,400.907644512042,120.72637162283904,14.646762574992081,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-r2-B-200us-20260908T223823.280789Z/independent-analysis.json
