run_json,block_started_at,dataset_class,observable_ports,unobservable_ports,frequency_mhz,configuration,dwell_us,round,control,method,origin_shift_us,maximum_phase_deg,maximum_gain_db,phase_closure_pass_diagnostic_only,base_window_phase_closure_pass,base_observation_ms,base_weighted_phase_rms_deg,report_status
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-25us-20260908T230053.355939Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,25,1,False,whole-record reference-labeled,29.500000000000004,132.93760574749854,16.365453620915492,False,False,0.4486511760879146,78.98589103528597,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-25us-20260908T230053.355939Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,25,1,False,past-only frozen,29.500000000000004,156.57273071795527,27.829275543209057,False,False,0.44861002143240125,94.57697380058421,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-25us-20260908T230053.355939Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,25,1,False,past-only rolling 50 ms,29.500000000000004,1.7478519579094656,4.263395795044656,False,False,50,13.354831160019522,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-200us-control-20260908T230108.416593Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,200,1,True,whole-record reference-labeled,217.0,2.4556594932392586,0.7934868937046219,True,True,1.4954028620677986,6.471683052434114,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-200us-control-20260908T230108.416593Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,200,1,True,past-only frozen,217.0,3.5288015712118015,1.7075508917069078,False,False,1.4954377130084926,8.476238649806078,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-200us-control-20260908T230108.416593Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,200,1,True,past-only rolling 50 ms,217.0,1.0287039688800426,0.19891137315727753,True,True,50,1.04645078904815,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-200us-20260908T230117.728222Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,200,1,False,whole-record reference-labeled,219.50000000000003,1.6208020165748946,0.8435798672885465,True,True,1.4953472339285758,5.938658084608434,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-200us-20260908T230117.728222Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,200,1,False,past-only frozen,219.50000000000003,30.7262702275697,10.444880472964272,False,False,1.4954525971014938,61.873354391689666,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-200us-20260908T230117.728222Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,200,1,False,past-only rolling 50 ms,219.50000000000003,1.088121253955222,0.32146097674637375,True,True,50,0.8205848883075755,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-100us-20260908T230132.690307Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,100,1,False,whole-record reference-labeled,116.5,1.0961355792497465,0.6318958137531425,True,True,0.8972986604589915,8.425264842734958,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-100us-20260908T230132.690307Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,100,1,False,past-only frozen,116.5,158.65709762098922,6.678207775178443,False,False,0.8972705539386112,47.07396687391289,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r1-A-100us-20260908T230132.690307Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,100,1,False,past-only rolling 50 ms,116.5,1.0357009093379195,0.36230482650238366,True,True,50,0.9661583990596774,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-25us-20260908T230147.767604Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,25,2,False,whole-record reference-labeled,1.5,129.85162877711517,14.147766941207054,False,False,0.4486333927408442,71.92454749542911,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-25us-20260908T230147.767604Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,25,2,False,past-only frozen,1.5,28.572385036541974,20.955454055934702,False,False,0.44865628472598734,92.16233246854053,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-25us-20260908T230147.767604Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,25,2,False,past-only rolling 50 ms,1.5,1.7575825174951325,5.002910673423601,False,False,50,44.287532531497476,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-50us-20260908T230202.643731Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,50,2,False,whole-record reference-labeled,1.0,1.153490092373264,1.0526400159487173,False,False,0.5981451480324578,14.056720415812975,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-50us-20260908T230202.643731Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,50,2,False,past-only frozen,1.0,146.51270916106708,17.77928693049177,False,False,0.5981712384839215,55.86421913539086,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-50us-20260908T230202.643731Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,50,2,False,past-only rolling 50 ms,1.0,1.09818465138181,0.9377535091716929,True,True,50,1.363942227301606,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-200us-control-20260908T230217.565293Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,200,2,True,whole-record reference-labeled,0.5,1.1203868858391277,0.24443096249041374,True,True,1.4954486845695958,4.8380913934759535,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-200us-control-20260908T230217.565293Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,200,2,True,past-only frozen,0.5,143.37153076171097,9.914544569340663,False,False,1.4953878415179551,20.095620447109013,analyzed
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T225855806955Z-r2-A-200us-control-20260908T230217.565293Z/run.json,2026-09-08T22:58:55.806988+00:00,recipe-bound fresh trial,ANT1 ANT2 ANT4 ANT8 ANT7,ANT5,2475.0,A,200,2,True,past-only rolling 50 ms,0.5,1.0843831326355104,0.24250360534112583,True,True,50,0.8328467768404492,analyzed
