run_json,frequency_mhz,port,gain_db,amplitude,phase_rms_10ms_deg,coherence
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-before-A-ANT2-20260908T223200.522630Z/run.json,5811.0,ANT2,60,0.005333018732310474,2.4823901055564503,0.12168121568662678
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-before-A-ANT4-20260908T223224.906703Z/run.json,5811.0,ANT4,60,0.0025521560045061826,5.506244657099874,0.05819067099654003
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-before-A-ANT5-20260908T223324.138147Z/run.json,5811.0,ANT5,60,0.001970715460608048,6.597525160553757,0.04522213788983319
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-before-A-ANT7-20260908T223309.985526Z/run.json,5811.0,ANT7,60,0.003392503482297828,3.973105448096088,0.07812343217377525
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-before-A-ANT8-20260908T223246.617390Z/run.json,5811.0,ANT8,60,0.00283089846788204,5.131259125015412,0.0635036113763499
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-before-B-ANT1-20260908T223340.439811Z/run.json,5811.0,ANT1,60,0.0009582568386004685,13.182662151230259,0.02033898010257601
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-before-B-ANT2-20260908T223356.197548Z/run.json,5811.0,ANT2,60,0.00553263786268697,2.3488012511470937,0.11636294840492936
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-before-B-ANT4-20260908T223411.430241Z/run.json,5811.0,ANT4,60,0.002604380897134483,5.6513663313717934,0.05517625961135385
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-before-B-ANT5-20260908T223515.770289Z/run.json,5811.0,ANT5,60,0.002008467480829925,7.196905203172878,0.04242550305736081
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-before-B-ANT7-20260908T223451.211545Z/run.json,5811.0,ANT7,60,0.0033721747315674797,4.391544214385509,0.0733059955534212
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T223136472639Z-ref-before-B-ANT8-20260908T223429.282111Z/run.json,5811.0,ANT8,60,0.002807119982102731,5.439808472355246,0.05874617959155007
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-after-A-ANT1-20260908T225728.304403Z/run.json,5811.0,ANT1,60,0.0009311780436341264,17.62606835969911,0.019059566978592807
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-after-A-ANT2-20260908T225715.096531Z/run.json,5811.0,ANT2,60,0.0052662606241012,2.805137914602181,0.11969213491115446
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-after-A-ANT4-20260908T225648.107640Z/run.json,5811.0,ANT4,60,0.0026296480163870237,5.266541607988444,0.05887782870120866
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-after-A-ANT5-20260908T225539.926828Z/run.json,5811.0,ANT5,60,0.002002086871978036,6.742715731388337,0.04536634915297611
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-after-A-ANT7-20260908T225603.017469Z/run.json,5811.0,ANT7,60,0.003441151893634442,4.370212822484626,0.0762902427186779
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-after-A-ANT8-20260908T225626.492581Z/run.json,5811.0,ANT8,60,0.002857488967011865,5.363361983612929,0.061922654272275134
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-after-D-ANT1-20260908T225524.169796Z/run.json,5811.0,ANT1,60,0.0010080693606109913,15.78121633726662,0.01479536919071693
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-after-D-ANT2-20260908T225508.096382Z/run.json,5811.0,ANT2,60,0.0054158573448351965,2.5630522140180694,0.08526841942359742
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-after-D-ANT4-20260908T225455.370246Z/run.json,5811.0,ANT4,60,0.002574480548602627,5.589493253499625,0.04064400494078404
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-after-D-ANT5-20260908T225412.302576Z/run.json,5811.0,ANT5,60,0.0020355063690806804,6.970992981635748,0.03210424651803765
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-after-D-ANT7-20260908T225425.679075Z/run.json,5811.0,ANT7,60,0.0034211841044521703,4.667614104621028,0.05403970826365815
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-after-D-ANT8-20260908T225440.176508Z/run.json,5811.0,ANT8,60,0.0027814571368947774,5.103974944656007,0.0438665031419835
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-before-A-ANT1-20260908T224532.679604Z/run.json,5811.0,ANT1,60,0.001029536114673346,14.289421458609727,0.021247087618502282
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-before-A-ANT2-20260908T224551.145275Z/run.json,5811.0,ANT2,60,0.005289879751743595,2.568562095171739,0.12046554342134358
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-before-A-ANT4-20260908T224606.526688Z/run.json,5811.0,ANT4,60,0.002639442778448196,4.940777678975734,0.05886561022928681
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-before-A-ANT5-20260908T224652.363003Z/run.json,5811.0,ANT5,60,0.0020174638183692623,7.301204279048983,0.04622681148621518
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-before-A-ANT7-20260908T224637.147536Z/run.json,5811.0,ANT7,60,0.0034875497939301763,4.29115532132067,0.0784605505889879
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-before-A-ANT8-20260908T224623.148544Z/run.json,5811.0,ANT8,60,0.0027655732941316738,4.807167609092742,0.06207585151426558
/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T224532349585Z-ref-before-D-ANT1-20260908T224708.405206Z/run.json,5811.0,ANT1,60,0.0010735662765090964,13.592212703278719,0.015863747868711472
