frequency_hz,tx_port,status,phase_10deg_wall_latency_ms,full_bearing_deg,full_bearing_valid,full_bearing_residual_phase_rms_deg,nominal_51mm_bearing_deg,nominal_51mm_valid,error,run_json,run_sha256
5745000000.0,TX2,analyzed,47.808,160.0,True,18.94376299502411,160.25,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5745000000-tx2-20260911T222722.485925Z/run.json,628b20720108ab0d4191e1d24f149e4710a23224347ef16ab7daeb945eeb7dc5
5746000000.0,TX1,analyzed,47.808,264.0,False,48.578983431480985,264.0,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5746000000-tx1-20260911T222733.309299Z/run.json,f037759274c7d9dd00cd99f16f7e093c07ac355ed20d726ea879d25c1100ad5a
5746000000.0,TX2,analyzed,47.808,159.5,True,16.34078431946436,159.75,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5746000000-tx2-20260911T222744.029694Z/run.json,6ab23c7b2c5212d675bd2b3cfef9cc14f39df4803053723e8559f3e3eef9f012
5747000000.0,TX1,analyzed,47.808,83.5,False,58.566169608435395,84.25,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5747000000-tx1-20260911T222754.839555Z/run.json,c21794b04cbd7238c15e1980e239878fe3a6b04d2cd29a778d4f79d385520c0b
5747000000.0,TX2,analyzed,95.616,95.0,False,47.9898231760024,96.0,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5747000000-tx2-20260911T222805.358104Z/run.json,8751d06a921748db7e5108a590e28547947d64f6be4653535b67021c29263f73
5748000000.0,TX1,analyzed,47.808,265.75,False,44.23653712737327,265.75,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5748000000-tx1-20260911T222815.954901Z/run.json,1d7d36c5578e500b0a4a421835e06caa4c4c90e6ae481b3269ce4cca2ea9f3cf
5748000000.0,TX2,analyzed,47.808,160.25,True,18.192338489215178,160.5,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5748000000-tx2-20260911T222825.720662Z/run.json,2befcf634481a265509e857ad35b220538937537d789ac0f467b6026197322eb
5749000000.0,TX1,analyzed,47.808,265.75,False,44.38924152144304,265.5,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5749000000-tx1-20260911T222835.518752Z/run.json,88599943fa7ac4cf932ee7c86be6cfb8aa9678c2af0da7e6e2a73e86a7970a36
5749000000.0,TX2,analyzed,382.72,277.25,False,45.275549452091234,277.25,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5749000000-tx2-20260911T222845.475593Z/run.json,b959cb4e960987740b999fd17da381f0d07383725cc039af45a4adb3880068e4
5750000000.0,TX1,analyzed,95.616,89.0,False,57.78882670532763,89.0,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5750000000-tx1-20260911T222855.377401Z/run.json,6a235e7bf88ef1922704027c47b798c3c7eb91f4554406b7c89b6c30b845a27b
5750000000.0,TX2,analyzed,47.808,160.25,True,17.99002600782313,160.5,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5750000000-tx2-20260911T222904.900209Z/run.json,4fb4fb493d82980d8fda5ff7b595567197c930577c913d75bdedde8493269ec0
5751000000.0,TX1,analyzed,47.808,266.0,False,45.392652031418,265.75,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5751000000-tx1-20260911T222914.587497Z/run.json,e96c1581f6406b589a1070153af5875128c5df1bd31ce7a4ef7cb00b78f3526f
5751000000.0,TX2,analyzed,47.808,160.5,True,20.343703631086306,160.75,True,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5751000000-tx2-20260911T222924.473205Z/run.json,8fa1d8cafef04e33364dd2395103296041d6ed45e1140735b0438b1bf688cfef
5752000000.0,TX1,analyzed,47.84,265.75,False,42.628967373998364,265.75,False,,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v3/captures/dense5ms-5752000000-tx1-20260911T222935.245264Z/run.json,063c2ade9dfaba73f17b3b6eda2a7085ad393bebd5dc33b79448e65890a8dad3
