block,run_json,configuration,dwell_us,round,control,any_window_pass,first_phase_pass_ms,error,common_rotation_deg,gain_error_db,maximum_observable_gain_error_db,maximum_observable_phase_bias_deg,passed,raw_phase_bias_deg,relative_phase_bias_deg,weighted_phase_bias_deg
block-20260908T171600754199Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r2-200us-control-20260908T171839.680101Z/run.json,A,200,2,True,False,,,15.181596175823989,"[-27.200474816937195, 5.408827828317192, 0.3818912811118999, -6.188836207384092, 6.564590584990019, 5.859591871835427]",27.200474816937195,178.38585281888493,False,"[8.615475701284518, 120.3415179347417, 19.993360293027283, 6.054087981102247, -166.4325510052911, -73.76518501013715]","[-6.566120474539472, 105.15992175891772, 4.8117641172032934, -9.127508194721743, 178.38585281888493, -88.94678118596114]",50.74103547812074
block-20260908T171600754199Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r2-200us-20260908T171848.835237Z/run.json,A,200,2,False,False,,,21.038044658571536,"[-44.10471581849501, 6.834506629395111, 1.6225571146074949, -5.840167139325189, 7.921757772104778, 7.69498643201735]",44.10471581849501,172.5599518781959,False,"[17.323576687132107, 122.10174510203144, 18.176479237464612, 6.307731795106594, -166.40200346323257, -73.07019035844367]","[-3.7144679714394297, 101.06370044345991, -2.861565421106926, -14.730312863464945, 172.5599518781959, -94.1082350170152]",49.23948977789519
block-20260908T171600754199Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r2-1000us-20260908T171903.465535Z/run.json,A,1000,2,False,True,6.2775899983659835,,-0.9858060808534195,"[-0.12954780527138204, -0.31378648638222684, 0.24061753010451883, 0.31328067507842805, -0.0589312550381165, 0.10359010447337738]",0.31378648638222684,0.8235880552826866,True,"[-0.9371049755314096, -0.8224580688381401, -0.16221802557073273, -1.3645163879676339, -0.8969282356665231, -1.7943073583423865]","[0.0487011053220098, 0.16334801201527932, 0.8235880552826866, -0.37871030711421455, 0.08887784518689629, -0.808501277488967]",0.2967237761418935
block-20260908T171600754199Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r3-200us-20260908T171918.291318Z/run.json,A,200,3,False,False,,,11.671963857127867,"[-36.92289532025522, 6.631555270107228, 1.5384542326018877, -5.890019977741506, 7.7500562214701, 7.537923466148115]",36.92289532025522,178.33126408981568,False,"[3.978919232557683, 121.26340238486162, 17.69914979589975, 5.758168486437637, -166.6593002326878, -73.48976318301017]","[-7.693044624570185, 109.59143852773374, 6.027185938771879, -5.913795370690229, -178.33126408981568, -85.16172704013805]",51.63459830136797
block-20260908T171600754199Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r3-200us-control-20260908T171927.665074Z/run.json,A,200,3,True,False,,,16.93642752974625,"[-42.67697484391764, 6.823739618714639, 1.6292159766666094, -5.859340849547147, 7.937592364827602, 7.660427688557041]",42.67697484391764,176.737572878038,False,"[11.32367292115676, 121.77085343786574, 18.09398376427069, 6.384909042121978, -166.32599959221577, -73.23240567842659]","[-5.612754608589491, 104.83442590811947, 1.1575562345244383, -10.551518487624271, 176.737572878038, -90.16883320817284]",50.438433564959674
block-20260908T171600754199Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r3-1000us-20260908T171942.631329Z/run.json,A,1000,3,False,True,6.278030905862213,,0.8590933191396217,"[0.07251880120995928, -0.12634483403550034, 0.36240801469255846, 0.5012539632915515, 0.11434678987322205, 0.31633908125223714]",0.5012539632915515,0.696124468378828,True,"[0.839894243933799, 0.9094941336507354, 1.5552177875184496, 0.672341792254139, 1.0082247686310226, 0.9408978906165669]","[-0.019199075205822803, 0.05040081451111375, 0.696124468378828, -0.1867515268854828, 0.1491314494914007, 0.08180457147694509]",0.20309617959979145
block-20260908T222235133339Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r1-200us-control-20260908T222359.927361Z/run.json,A,200,1,True,True,20.935039673699947,,-2.223776896502435,"[-0.6843864594106143, 0.09822045198652013, 0.24108212251907318, -0.11233846091933182, 0.005641174670640517, 0.2970544504465391]",0.6843864594106143,3.998361247111612,True,"[-6.222138143614047, -2.184069538105601, -0.43546030888978216, -1.5131467491669026, -3.225716089568294, -2.7265767646124845]","[-3.998361247111612, 0.03970735839683393, 1.788316587612653, 0.7106301473355325, -1.0019391930658588, -0.5027998681100496]",0.9687243311485703
block-20260908T222235133339Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r1-100us-20260908T222415.183804Z/run.json,A,100,1,False,False,,,-3.445035165475507,"[0.5903227490024902, -2.077547084667968, -1.286080292192727, -1.0474882515742947, -1.4812372050870901, -0.8863899417321636]",2.077547084667968,46.22870107473894,False,"[-49.67373624021445, -5.731101514536117, 9.165228601317919, 3.511396943398415, -7.803596617341929, 3.1138743766761388]","[-46.22870107473894, -2.2860663490606092, 12.610263766793425, 6.956432108873922, -4.358561451866423, 6.558909542151646]",8.596658842766397
block-20260908T222235133339Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r1-50us-20260908T222430.717395Z/run.json,A,50,1,False,False,,,-2.4705876876994624,"[-0.4222296851143936, -5.2286094277052655, 0.2703493847347696, -2.0247724467676123, -2.4176514237450126, 0.2602336375381089]",5.2286094277052655,57.71678539618023,False,"[-60.18737308387969, -0.7968099404708925, 31.695203926613516, -12.808610269777791, -18.08584336105623, 13.703851870242232]","[-57.71678539618023, 1.6737777472285698, 34.16579161431298, -10.338022582078331, -15.61525567335677, 16.174439557941696]",16.50168258764446
block-20260908T222235133339Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r1-1000us-20260908T222445.466742Z/run.json,A,1000,1,False,True,25.119443894212544,,-1.6710810241512082,"[-0.47031208771731225, 0.04236661881906225, 0.06341951679992149, -0.08785992546052698, 0.17771245380639988, 0.14063011911437873]",0.47031208771731225,2.086679775906985,True,"[-3.7577608000581932, -1.589192099429537, -1.1887883782657327, -0.39456213823668573, -3.007602117072929, -1.0556043801168662]","[-2.086679775906985, 0.08188892472167104, 0.48229264588547544, 1.2765188859145224, -1.3365210929217208, 0.6154766440343421]",0.8426658524532062
