configuration,dwell_us,round,integration_ms,cycles,groups,active_per_port_ms,weighted_phase_rms_deg,passed,run_json
B,25,1,200.44063704165328,447,19,6.6156,9.70029514699032,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-25us-20260908T071901.745767Z/run.json
B,25,1,400.4328610250478,893,9,13.2164,7.659932619998768,True,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-B-25us-20260908T071901.745767Z/run.json
A,25,1,0.4484229370358797,1,8919,0.0145,98.36731439206775,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-25us-20260908T071914.263010Z/run.json
A,25,1,1.3452688111076392,3,2973,0.0435,91.0516922483321,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-25us-20260908T071914.263010Z/run.json
A,25,1,2.2421146851793985,5,1783,0.0725,84.49139145938233,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-25us-20260908T071914.263010Z/run.json
A,25,1,5.381075244430557,12,743,0.174,76.6924985017698,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-25us-20260908T071914.263010Z/run.json
A,25,1,10.313727551825233,23,387,0.33349999999999996,72.36861606245341,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-25us-20260908T071914.263010Z/run.json
A,25,1,20.179032166614586,45,198,0.6525,64.48016165701632,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-25us-20260908T071914.263010Z/run.json
A,25,1,50.223368948018525,112,79,1.624,54.77795414042971,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-25us-20260908T071914.263010Z/run.json
A,25,1,100.44673789603705,224,39,3.248,52.2266998677363,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-25us-20260908T071914.263010Z/run.json
A,25,1,200.44505285503823,447,19,6.4815000000000005,53.413409521813385,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-25us-20260908T071914.263010Z/run.json
A,25,1,400.44168277304055,893,9,12.9485,47.04212315287738,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r1-A-25us-20260908T071914.263010Z/run.json
D,25,2,0.4484000894185406,1,8920,0.0148,95.7122950220531,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-D-25us-20260908T072011.579511Z/run.json
D,25,2,1.345200268255622,3,2973,0.0444,85.62227034158637,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-D-25us-20260908T072011.579511Z/run.json
D,25,2,2.242000447092703,5,1784,0.074,75.51261938293709,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-D-25us-20260908T072011.579511Z/run.json
D,25,2,5.380801073022488,12,743,0.1776,63.97730679471102,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-D-25us-20260908T072011.579511Z/run.json
D,25,2,10.313202056626434,23,387,0.3404,56.68961095204266,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-D-25us-20260908T072011.579511Z/run.json
D,25,2,20.178004023834326,45,198,0.666,45.80766903830602,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-D-25us-20260908T072011.579511Z/run.json
D,25,2,50.22081001487655,112,79,1.6576,35.847965450072316,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-D-25us-20260908T072011.579511Z/run.json
D,25,2,100.4416200297531,224,39,3.3152,29.932984078637705,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-D-25us-20260908T072011.579511Z/run.json
D,25,2,200.43483997008764,447,19,6.6156,28.490780095361316,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-D-25us-20260908T072011.579511Z/run.json
D,25,2,400.4212798507568,893,9,13.2164,28.27042839692599,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-D-25us-20260908T072011.579511Z/run.json
A,25,2,0.4483877152629356,1,8920,0.0145,94.29403133531841,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-A-25us-20260908T072025.570249Z/run.json
A,25,2,1.3451631457888067,3,2973,0.0435,84.85068492256704,False,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/screen-r2-A-25us-20260908T072025.570249Z/run.json
