dwell_us,frequency_hz,tx_channel,tx_port,cycle_us,theoretical_scans_per_second,frequency_difference_qualified,frequency_difference_search_objective,frequency_difference_error_hz,single_cycle_phase_rms_deg_maximum_port,single_cycle_phase_rms_deg_maximum_observable_port,single_cycle_phase_rms_deg_power_weighted_ports,phase_10deg_wall_latency_ms,phase_10deg_active_integration_ms,phase_10deg_cycles,phase_10deg_maximum_port_rms_deg,phase_10deg_maximum_observable_port_rms_deg,phase_10deg_power_weighted_rms_deg,observable_port_count,observable_ports,settled_after_selected_edge_us,phase_only_settled_after_selected_edge_us,decode_method,selector_clock_scale,selector_cycle_frequency_hz,decode_periodicity_score,decode_alignment_score,full_bearing_deg,full_bearing_valid,full_bearing_score,full_bearing_residual_phase_rms_deg,run_json
200,5741000000,0,TX1,1500,666.6666666666666,True,,,92.10952917204568,92.10952917204568,62.60084186910931,95.68,12.096,64,28.2112371921925,28.2112371921925,7.620361146098684,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.9966666666666667,669.0025638749343,0.03178482755630878,0.9325469086936551,0.75,False,0.3497941058266379,73.68466920066376,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5741000000-tx1-20260903T205905.855498Z/run.json
200,5741000000,1,TX2,1500,666.6666666666666,True,0.857465613565847,-1.8068000000000002,28.317875417050697,28.317875417050697,13.297616997131277,5.98,0.756,4,21.465544885307658,21.465544885307658,8.364106552340616,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.9966666666666667,669.0432815936864,0.02849844838338099,0.8693050421776733,178.0,True,0.735427206313453,25.0132090417344,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5741000000-tx2-20260903T205919.198719Z/run.json
200,5742000000,0,TX1,1500,666.6666666666666,True,,,94.18623238118246,94.18623238118246,63.578754915538795,95.68,12.096,64,32.80597412891547,32.80597412891547,9.252450689438923,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.9966666666666667,669.033283428129,0.03069469972292907,0.933719847031824,359.0,False,0.3784978938293687,71.65554944555254,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5742000000-tx1-20260903T205933.865511Z/run.json
200,5742000000,1,TX2,1500,666.6666666666666,True,0.8816326517471117,-1.8072000000000001,27.31517172364706,27.31517172364706,11.287164259571455,2.988,0.378,2,19.00820402750294,19.00820402750294,8.344365689752001,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.1981823893925,0.031125423854651633,0.84864489303093,178.75,True,0.7458997344179414,23.793976584009886,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5742000000-tx2-20260903T205946.457576Z/run.json
200,5743000000,0,TX1,1500,666.6666666666666,True,,,93.35686114140773,93.35686114140773,67.37972107382863,95.616,12.096,64,29.545570716725784,29.545570716725784,9.301473829793217,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.2483233195281,0.028749158277344394,0.9019278171869914,358.0,False,0.40378524568425406,66.58673656145105,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5743000000-tx1-20260903T210001.003772Z/run.json
200,5743000000,1,TX2,1500,666.6666666666666,True,0.9037322444010929,-1.8082,25.970046261015476,25.970046261015476,9.657952808237326,1.494,0.189,1,25.970046261015476,25.970046261015476,9.657952808237326,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",24.0,17.0,cyclostationary_coherent_fold,0.996,669.1597952970596,0.030843088877142325,0.8982112180722868,179.5,True,0.7537129210587068,22.556148021870033,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5743000000-tx2-20260903T210014.168811Z/run.json
200,5744000000,0,TX1,1500,666.6666666666666,True,,,92.61268555377455,92.61268555377455,66.42453615821617,95.616,12.096,64,24.701369949804622,24.701369949804622,8.534388822255604,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.1386156342463,0.029066536837439327,0.9282710017277105,357.5,False,0.4206937402660041,65.75673290510775,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5744000000-tx1-20260903T210028.364268Z/run.json
200,5744000000,1,TX2,1500,666.6666666666666,True,0.9022339637394023,-1.8084,26.981744706515126,26.981744706515126,9.725706482617944,1.494,0.189,1,26.981744706515126,26.981744706515126,9.725706482617944,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",22.0,14.0,cyclostationary_coherent_fold,0.996,669.180297728738,0.030449894103036116,0.9154286998459239,179.75,True,0.758112814083002,21.986673607687578,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5744000000-tx2-20260903T210040.907999Z/run.json
200,5745000000,0,TX1,1500,666.6666666666666,True,,,92.55141337753062,92.55141337753062,71.30634224458,95.616,12.096,64,22.538418647547363,22.538418647547363,9.424571238311122,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",,,cyclostationary_coherent_fold,0.996,669.3009129947172,0.02796160699690362,0.8921377365890127,356.0,False,0.4392547390398968,63.79923815843188,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5745000000-tx1-20260903T210055.238038Z/run.json
200,5745000000,1,TX2,1500,666.6666666666666,True,0.8957455603575163,-1.8068000000000002,27.48594494513077,27.48594494513077,10.221395856561612,2.988,0.378,2,18.365957749241097,18.365957749241097,7.395260711895314,6,"ANT1,ANT2,ANT4,ANT8,ANT7,ANT5",25.0,25.0,cyclostationary_coherent_fold,0.996,669.2487346714917,0.02829469342994014,0.8946618994447467,179.5,True,0.7571201609201552,21.907169146993528,/srv/bulk/samteway/lab-data/tracking-fast-timing-20260903-v6/captures/fast-200us-5745000000-tx2-20260903T210108.154394Z/run.json
