frequency_hz,tx_port,status,frequency_difference_qualified,phase_10deg_wall_latency_ms,full_bearing_deg,full_bearing_valid,full_bearing_residual_phase_rms_deg,nominal_51mm_bearing_deg,nominal_51mm_valid,error,run_json
5733000000,TX1,analyzed,True,11.952,265.25,False,33.69745095522106,264.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5733000000-tx1-20260911T033112.511741Z/run.json
5733000000,TX2,analyzed,True,5.976,160.5,True,23.85138436224185,160.75,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5733000000-tx2-20260911T033121.743902Z/run.json
5734000000,TX1,analyzed,True,11.952,264.25,False,22.731738479199525,264.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5734000000-tx1-20260911T033130.805894Z/run.json
5734000000,TX2,analyzed,True,5.976,160.0,True,21.724489519182,160.5,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5734000000-tx2-20260911T033139.857333Z/run.json
5735000000,TX1,analyzed,True,5.976,265.25,False,34.44479305540268,265.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5735000000-tx1-20260911T033149.162704Z/run.json
5735000000,TX2,analyzed,True,5.976,160.5,True,21.87213093494334,160.75,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5735000000-tx2-20260911T033158.300695Z/run.json
5736000000,TX1,analyzed,True,11.952,264.0,False,52.947215349197144,264.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5736000000-tx1-20260911T033208.698583Z/run.json
5736000000,TX2,analyzed,True,5.976,160.25,True,18.32320719662922,160.5,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5736000000-tx2-20260911T033217.888308Z/run.json
5737000000,TX1,analyzed,True,11.96,264.25,False,63.150175177056234,264.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5737000000-tx1-20260911T033227.409172Z/run.json
5737000000,TX2,analyzed,True,11.952,160.0,True,17.19237339603819,160.25,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5737000000-tx2-20260911T033236.486794Z/run.json
5738000000,TX1,analyzed,True,11.952,264.5,False,54.10825005550039,264.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5738000000-tx1-20260911T033245.620974Z/run.json
5738000000,TX2,analyzed,True,5.98,160.25,True,18.21188278294503,160.5,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5738000000-tx2-20260911T033254.521055Z/run.json
5739000000,TX1,analyzed,True,11.96,263.5,False,56.62990399292396,263.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5739000000-tx1-20260911T033303.575266Z/run.json
5739000000,TX2,analyzed,True,5.976,159.75,True,19.03418348149822,160.25,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5739000000-tx2-20260911T033312.706001Z/run.json
5740000000,TX1,analyzed,True,11.952,262.75,False,53.564871640636376,262.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5740000000-tx1-20260911T033321.638862Z/run.json
5740000000,TX2,analyzed,True,5.976,160.0,True,18.255781597973165,160.25,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5740000000-tx2-20260911T033330.886530Z/run.json
5741000000,TX1,analyzed,True,11.952,264.25,False,53.37591420028097,264.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5741000000-tx1-20260911T033339.975418Z/run.json
5741000000,TX2,analyzed,True,5.976,160.0,True,17.871285432667168,160.25,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5741000000-tx2-20260911T033349.192245Z/run.json
5742000000,TX1,analyzed,True,11.952,262.75,False,53.161832229346125,262.75,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5742000000-tx1-20260911T033358.363198Z/run.json
5742000000,TX2,analyzed,True,5.976,160.0,True,17.275226353774265,160.25,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5742000000-tx2-20260911T033407.635434Z/run.json
5743000000,TX1,analyzed,True,11.952,263.5,False,51.215691713443086,263.25,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5743000000-tx1-20260911T033416.977728Z/run.json
5743000000,TX2,analyzed,True,5.976,160.25,True,17.252963276938672,160.5,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5743000000-tx2-20260911T033426.333505Z/run.json
5744000000,TX1,analyzed,True,11.952,263.5,False,51.52784401970271,263.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5744000000-tx1-20260911T033435.622752Z/run.json
5744000000,TX2,analyzed,True,11.96,160.0,True,17.41072431421748,160.25,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5744000000-tx2-20260911T033445.146105Z/run.json
5745000000,TX1,analyzed,True,11.952,263.5,False,51.40094740130024,263.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5745000000-tx1-20260911T033454.251505Z/run.json
5745000000,TX2,analyzed,True,5.976,160.25,True,16.4756416992633,160.5,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5745000000-tx2-20260911T033503.592827Z/run.json
5746000000,TX1,analyzed,True,11.952,264.25,False,49.00435321352172,264.0,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5746000000-tx1-20260911T033512.969823Z/run.json
5746000000,TX2,analyzed,True,5.976,160.5,True,17.016435036705147,160.75,True,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5746000000-tx2-20260911T033522.349955Z/run.json
5747000000,TX1,analyzed,True,5.976,264.5,False,48.276928554037454,264.5,False,,/srv/bulk/samteway/lab-data/tracking-jitter-20260911-resume-v1/captures/dense-5747000000-tx1-20260911T033532.007564Z/run.json
